From	Entry	Organism
Q336P5	Q336P5	Oryza sativa subsp. japonica (Rice)
Q336V8	Q336V8	Oryza sativa subsp. japonica (Rice)
Q338G6	Q338G6	Oryza sativa subsp. japonica (Rice)
Q39204	Q39204	Arabidopsis thaliana (Mouse-ear cress)
Q3E7L7	Q3E7L7	Arabidopsis thaliana (Mouse-ear cress)
Q3EAI1	Q3EAI1	Arabidopsis thaliana (Mouse-ear cress)
Q3MHT3	Q3MHT3	Rattus norvegicus (Rat)
Q3T1I5	Q3T1I5	Rattus norvegicus (Rat)
Q3U1N2	Q3U1N2	Mus musculus (Mouse)
Q3U1U7	Q3U1U7	Mus musculus (Mouse)
Q3YFL6	Q3YFL6	Sus scrofa (Pig)
Q3ZBG4	Q3ZBG4	Bos taurus (Bovine)
Q3ZC46	Q3ZC46	Bos taurus (Bovine)
Q4PJW2	Q4PJW2	Sus scrofa (Pig)
Q4R5G6	Q4R5G6	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)
Q4W9W8	Q4W9W8	Aspergillus fumigatus (strain ATCC MYA-4609 / CBS 101355 / FGSC A1100 / Af293) (Neosartorya fumigata)
Q4WIN1	Q4WIN1	Aspergillus fumigatus (strain ATCC MYA-4609 / CBS 101355 / FGSC A1100 / Af293) (Neosartorya fumigata)
Q4ZHW1	Q4ZHW1	Xenopus laevis (African clawed frog)
Q56XR0	Q56XR0	Arabidopsis thaliana (Mouse-ear cress)
Q56YJ8	Q56YJ8	Arabidopsis thaliana (Mouse-ear cress)
Q570R7	Q570R7	Arabidopsis thaliana (Mouse-ear cress)
Q58G01	Q58G01	Arabidopsis thaliana (Mouse-ear cress)
Q59RL7	Q59RL7	Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast)
Q5A1E3	Q5A1E3	Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast)
Q5ADL8	Q5ADL8	Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast)
Q5AL36	Q5AL36	Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast)
Q5E981	Q5E981	Bos taurus (Bovine)
Q5E9S3	Q5E9S3	Bos taurus (Bovine)
Q5EA15	Q5EA15	Bos taurus (Bovine)
Q5IS79	Q5IS79	Pan troglodytes (Chimpanzee)
Q5JNS0	Q5JNS0	Oryza sativa subsp. japonica (Rice)
Q5JUK2	Q5JUK2	Homo sapiens (Human)
Q5PPM5	Q5PPM5	Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)
Q5R4T2	Q5R4T2	Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)
Q5RAI7	Q5RAI7	Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)
Q5RAK8	Q5RAK8	Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)
Q5RJB0	Q5RJB0	Mus musculus (Mouse)
Q5TA89	Q5TA89	Homo sapiens (Human)
Q5TGS1	Q5TGS1	Homo sapiens (Human)
Q5XFQ6	Q5XFQ6	Gallus gallus (Chicken)
Q5XVH0	Q5XVH0	Arabidopsis thaliana (Mouse-ear cress)
Q5ZQU2	Q5ZQU2	Gallus gallus (Chicken)
Q60416	Q60416	Cricetulus griseus (Chinese hamster) (Cricetulus barabensis griseus)
Q60420	Q60420	Mesocricetus auratus (Golden hamster)
Q60429	Q60429	Cricetulus griseus (Chinese hamster) (Cricetulus barabensis griseus)
Q60430	Q60430	Mesocricetus auratus (Golden hamster)
Q60539	Q60539	Mesocricetus auratus (Golden hamster)
Q60722	Q60722	Mus musculus (Mouse)
Q60756	Q60756	Mus musculus (Mouse)
Q60867	Q60867	Mus musculus (Mouse)
Q60948	Q60948	Mus musculus (Mouse)
Q61026	Q61026	Mus musculus (Mouse)
Q61045	Q61045	Mus musculus (Mouse)
Q61069	Q61069	Mus musculus (Mouse)
Q61079	Q61079	Mus musculus (Mouse)
Q61221	Q61221	Mus musculus (Mouse)
Q61286	Q61286	Mus musculus (Mouse)
Q61324	Q61324	Mus musculus (Mouse)
Q61657	Q61657	Mus musculus (Mouse)
Q61976	Q61976	Marmota monax (Woodchuck)
Q62282	Q62282	Mus musculus (Mouse)
Q62414	Q62414	Mus musculus (Mouse)
Q62655	Q62655	Rattus norvegicus (Rat)
Q62912	Q62912	Rattus norvegicus (Rat)
Q63302	Q63302	Rattus norvegicus (Rat)
Q63379	Q63379	Rattus norvegicus (Rat)
Q63665	Q63665	Rattus norvegicus (Rat)
Q63689	Q63689	Rattus norvegicus (Rat)
Q64092	Q64092	Mus musculus (Mouse)
Q64124	Q64124	Mus musculus (Mouse)
Q64210	Q64210	Otospermophilus beecheyi (California ground squirrel) (Spermophilus beecheyi)
Q64221	Q64221	Mus musculus (Mouse)
Q64279	Q64279	Mus musculus (Mouse)
Q64289	Q64289	Rattus norvegicus (Rat)
Q64305	Q64305	Rattus norvegicus (Rat)
Q66GR3	Q66GR3	Arabidopsis thaliana (Mouse-ear cress)
Q66HH3	Q66HH3	Rattus norvegicus (Rat)
Q66J78	Q66J78	Xenopus laevis (African clawed frog)
Q66KK8	Q66KK8	Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)
Q688C4	Q688C4	Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)
Q68DE3	Q68DE3	Homo sapiens (Human)
Q69V10	Q69V10	Oryza sativa subsp. japonica (Rice)
Q69WS3	Q69WS3	Oryza sativa subsp. japonica (Rice)
Q6AT90	Q6AT90	Oryza sativa subsp. japonica (Rice)
Q6GL62	Q6GL62	Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)
Q6GNB7	Q6GNB7	Xenopus laevis (African clawed frog)
Q6GQ26	Q6GQ26	Xenopus laevis (African clawed frog)
Q6IRB2	Q6IRB2	Xenopus laevis (African clawed frog)
Q6IUP1	Q6IUP1	Mus musculus (Mouse)
Q6NKN9	Q6NKN9	Arabidopsis thaliana (Mouse-ear cress)
Q6NYU3	Q6NYU3	Danio rerio (Zebrafish) (Brachydanio rerio)
Q6PBD4	Q6PBD4	Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)
Q6PBD7	Q6PBD7	Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)
Q6PFG8	Q6PFG8	Mus musculus (Mouse)
Q6PUV5	Q6PUV5	Tetraodon nigroviridis (Spotted green pufferfish) (Chelonodon nigroviridis)
Q6Q2A8	Q6Q2A8	Takifugu rubripes (Japanese pufferfish) (Fugu rubripes)
Q6QB00	Q6QB00	Danio rerio (Zebrafish) (Brachydanio rerio)
Q6QHK4	Q6QHK4	Homo sapiens (Human)
Q6SYV5	Q6SYV5	Takifugu rubripes (Japanese pufferfish) (Fugu rubripes)
Q6VNZ9	Q6VNZ9	Danio rerio (Zebrafish) (Brachydanio rerio)
Q6XBT4	Q6XBT4	Bos taurus (Bovine)
Q6XD76	Q6XD76	Homo sapiens (Human)
Q6YGZ4	Q6YGZ4	Tyto alba (Barn owl)
Q6YGZ5	Q6YGZ5	Tyto alba (Barn owl)
Q6YUS3	Q6YUS3	Oryza sativa subsp. japonica (Rice)
Q6Z2G7	Q6Z2G7	Oryza sativa subsp. japonica (Rice)
Q700C7	Q700C7	Arabidopsis thaliana (Mouse-ear cress)
Q700E3	Q700E3	Arabidopsis thaliana (Mouse-ear cress)
Q700E4	Q700E4	Arabidopsis thaliana (Mouse-ear cress)
Q712G9	Q712G9	Canis lupus familiaris (Dog) (Canis familiaris)
Q71T09	Q71T09	Gallus gallus (Chicken)
Q75KV9	Q75KV9	Oryza sativa subsp. japonica (Rice)
Q75NT5	Q75NT5	Rattus norvegicus (Rat)
Q78E60	Q78E60	Rattus norvegicus (Rat)
Q7JGP2	Q7JGP2	Macaca tonkeana (Tonkean macaque)
Q7KM13	Q7KM13	Drosophila melanogaster (Fruit fly)
Q7RTS1	Q7RTS1	Homo sapiens (Human)
Q7RTS3	Q7RTS3	Homo sapiens (Human)
Q7RTU0	Q7RTU0	Homo sapiens (Human)
Q7RTU1	Q7RTU1	Homo sapiens (Human)
Q7RTU3	Q7RTU3	Homo sapiens (Human)
Q7RTU4	Q7RTU4	Homo sapiens (Human)
Q7RTU5	Q7RTU5	Homo sapiens (Human)
Q7RTU7	Q7RTU7	Homo sapiens (Human)
Q7SX95	Q7SX95	Danio rerio (Zebrafish) (Brachydanio rerio)
Q7SZ28	Q7SZ28	Xenopus laevis (African clawed frog)
Q7TS99	Q7TS99	Mus musculus (Mouse)
Q7X8R0	Q7X8R0	Oryza sativa subsp. japonica (Rice)
Q7XAQ6	Q7XAQ6	Oryza sativa subsp. japonica (Rice)
Q7XHI5	Q7XHI5	Arabidopsis thaliana (Mouse-ear cress)
Q7XHI7	Q7XHI7	Arabidopsis thaliana (Mouse-ear cress)
Q7XHI9	Q7XHI9	Arabidopsis thaliana (Mouse-ear cress)
Q7XJU0	Q7XJU0	Arabidopsis thaliana (Mouse-ear cress)
Q7XJU1	Q7XJU1	Arabidopsis thaliana (Mouse-ear cress)
Q7XJU2	Q7XJU2	Arabidopsis thaliana (Mouse-ear cress)
Q7YS80	Q7YS80	Bos taurus (Bovine)
Q7YS81	Q7YS81	Bos taurus (Bovine)
Q7YS82	Q7YS82	Bos taurus (Bovine)
Q7ZSX3	Q7ZSX3	Danio rerio (Zebrafish) (Brachydanio rerio)
Q7ZVS9	Q7ZVS9	Danio rerio (Zebrafish) (Brachydanio rerio)
Q7ZXF3	Q7ZXF3	Xenopus laevis (African clawed frog)
Q80US8	Q80US8	Mus musculus (Mouse)
Q84LH8	Q84LH8	Arabidopsis thaliana (Mouse-ear cress)
Q84RD0	Q84RD0	Arabidopsis thaliana (Mouse-ear cress)
Q84T08	Q84T08	Oryza sativa subsp. japonica (Rice)
Q84TK1	Q84TK1	Arabidopsis thaliana (Mouse-ear cress)
Q84WK0	Q84WK0	Arabidopsis thaliana (Mouse-ear cress)
Q8AVU4	Q8AVU4	Xenopus laevis (African clawed frog)
Q8AW52	Q8AW52	Danio rerio (Zebrafish) (Brachydanio rerio)
Q8AXV5	Q8AXV5	Danio rerio (Zebrafish) (Brachydanio rerio)
Q8AXV6	Q8AXV6	Danio rerio (Zebrafish) (Brachydanio rerio)
Q8BGD7	Q8BGD7	Mus musculus (Mouse)
Q8BGW3	Q8BGW3	Mus musculus (Mouse)
Q8BKT2	Q8BKT2	Mus musculus (Mouse)
Q8C6A8	Q8C6A8	Mus musculus (Mouse)
Q8CJH6	Q8CJH6	Rattus norvegicus (Rat)
Q8GT73	Q8GT73	Arabidopsis thaliana (Mouse-ear cress)
Q8GW32	Q8GW32	Arabidopsis thaliana (Mouse-ear cress)
Q8GWK7	Q8GWK7	Arabidopsis thaliana (Mouse-ear cress)
Q8GX46	Q8GX46	Arabidopsis thaliana (Mouse-ear cress)
Q8GXT3	Q8GXT3	Arabidopsis thaliana (Mouse-ear cress)
Q8GY61	Q8GY61	Arabidopsis thaliana (Mouse-ear cress)
Q8GZ13	Q8GZ13	Arabidopsis thaliana (Mouse-ear cress)
Q8GZ38	Q8GZ38	Arabidopsis thaliana (Mouse-ear cress)
Q8GZM7	Q8GZM7	Arabidopsis thaliana (Mouse-ear cress)
Q8H102	Q8H102	Arabidopsis thaliana (Mouse-ear cress)
Q8I1G0	Q8I1G0	Drosophila erecta (Fruit fly)
Q8IUM7	Q8IUM7	Homo sapiens (Human)
Q8IWI9	Q8IWI9	Homo sapiens (Human)
Q8IXF0	Q8IXF0	Homo sapiens (Human)
Q8J1X7	Q8J1X7	Fusarium culmorum
Q8L467	Q8L467	Arabidopsis thaliana (Mouse-ear cress)
Q8L5W7	Q8L5W7	Arabidopsis thaliana (Mouse-ear cress)
Q8L5W8	Q8L5W8	Arabidopsis thaliana (Mouse-ear cress)
Q8LEG1	Q8LEG1	Arabidopsis thaliana (Mouse-ear cress)
Q8MI03	Q8MI03	Pan troglodytes (Chimpanzee)
Q8MI06	Q8MI06	Gorilla gorilla gorilla (Western lowland gorilla)
Q8MIB5	Q8MIB5	Saguinus oedipus (Cotton-top tamarin)
Q8MIB9	Q8MIB9	Pongo pygmaeus (Bornean orangutan)
Q8MID5	Q8MID5	Microcebus murinus (Gray mouse lemur) (Lemur murinus)
Q8MIE7	Q8MIE7	Nomascus concolor (Black crested gibbon) (Hylobates concolor)
Q8MIF3	Q8MIF3	Eulemur fulvus fulvus (Brown lemur)
Q8MIH1	Q8MIH1	Callithrix jacchus (White-tufted-ear marmoset)
Q8MIH8	Q8MIH8	Cebus capucinus (White-faced sapajou)
Q8N100	Q8N100	Homo sapiens (Human)
Q8NDY6	Q8NDY6	Homo sapiens (Human)
Q8NFJ8	Q8NFJ8	Homo sapiens (Human)
Q8QGQ6	Q8QGQ6	Gallus gallus (Chicken)
Q8QGQ7	Q8QGQ7	Gallus gallus (Chicken)
Q8R4S2	Q8R4S2	Mus spretus (Western Mediterranean mouse) (Algerian mouse)
Q8R4S4	Q8R4S4	Mus spicilegus (Steppe mouse)
Q8R4S5	Q8R4S5	Mus musculus molossinus (Japanese house mouse)
Q8R4S6	Q8R4S6	Mus musculus castaneus (Southeastern Asian house mouse)
Q8R4S7	Q8R4S7	Mus caroli (Ryukyu mouse) (Ricefield mouse)
Q8S3D1	Q8S3D1	Arabidopsis thaliana (Mouse-ear cress)
Q8S3D2	Q8S3D2	Arabidopsis thaliana (Mouse-ear cress)
Q8S3D5	Q8S3D5	Arabidopsis thaliana (Mouse-ear cress)
Q8S3F1	Q8S3F1	Arabidopsis thaliana (Mouse-ear cress)
Q8TAK6	Q8TAK6	Homo sapiens (Human)
Q8UW72	Q8UW72	Xenopus laevis (African clawed frog)
Q8UW74	Q8UW74	Xenopus laevis (African clawed frog)
Q8VIP2	Q8VIP2	Rattus norvegicus (Rat)
Q8VZ02	Q8VZ02	Arabidopsis thaliana (Mouse-ear cress)
Q8VZ22	Q8VZ22	Arabidopsis thaliana (Mouse-ear cress)
Q8W2F1	Q8W2F1	Arabidopsis thaliana (Mouse-ear cress)
Q8W2F2	Q8W2F2	Arabidopsis thaliana (Mouse-ear cress)
Q8W2F3	Q8W2F3	Arabidopsis thaliana (Mouse-ear cress)
Q8WYA1	Q8WYA1	Homo sapiens (Human)
Q90259	Q90259	Danio rerio (Zebrafish) (Brachydanio rerio)
Q90260	Q90260	Danio rerio (Zebrafish) (Brachydanio rerio)
Q90341	Q90341	Cyprinus carpio (Common carp)
Q90342	Q90342	Cyprinus carpio (Common carp)
Q90477	Q90477	Danio rerio (Zebrafish) (Brachydanio rerio)
Q90683	Q90683	Gallus gallus (Chicken)
Q90690	Q90690	Gallus gallus (Chicken)
Q90691	Q90691	Gallus gallus (Chicken)
Q90VV1	Q90VV1	Xenopus laevis (African clawed frog)
Q90XB3	Q90XB3	Gallus gallus (Chicken)
Q90YI8	Q90YI8	Takifugu rubripes (Japanese pufferfish) (Fugu rubripes)
Q90Z12	Q90Z12	Xenopus laevis (African clawed frog)
Q90ZL1	Q90ZL1	Danio rerio (Zebrafish) (Brachydanio rerio)
Q91154	Q91154	Notophthalmus viridescens (Eastern newt) (Triturus viridescens)
Q91205	Q91205	Oncorhynchus mykiss (Rainbow trout) (Salmo gairdneri)
Q91206	Q91206	Oncorhynchus mykiss (Rainbow trout) (Salmo gairdneri)
Q91399	Q91399	Xenopus laevis (African clawed frog)
Q91605	Q91605	Xenopus laevis (African clawed frog)
Q91616	Q91616	Xenopus laevis (African clawed frog)
Q91YA8	Q91YA8	Spalax judaei (Judean Mountains blind mole rat) (Nannospalax judaei)
Q91YA9	Q91YA9	Nannospalax galili (Northern Israeli blind subterranean mole rat) (Spalax galili)
Q91YB0	Q91YB0	Nannospalax galili (Northern Israeli blind subterranean mole rat) (Spalax galili)
Q91YB2	Q91YB2	Spalax carmeli (Southern Israeli blind subterranean mole rat)
Q92020	Q92020	Xenopus laevis (African clawed frog)
Q923Z4	Q923Z4	Mus musculus (Mouse)
Q92858	Q92858	Homo sapiens (Human)
Q92886	Q92886	Homo sapiens (Human)
Q93VJ4	Q93VJ4	Arabidopsis thaliana (Mouse-ear cress)
Q93W88	Q93W88	Arabidopsis thaliana (Mouse-ear cress)
Q93Y00	Q93Y00	Arabidopsis thaliana (Mouse-ear cress)
Q94JL3	Q94JL3	Arabidopsis thaliana (Mouse-ear cress)
Q95LD9	Q95LD9	Delphinapterus leucas (Beluga whale)
Q95XG7	Q95XG7	Caenorhabditis elegans
Q96HZ4	Q96HZ4	Homo sapiens (Human)
Q96RJ6	Q96RJ6	Homo sapiens (Human)
Q96SQ7	Q96SQ7	Homo sapiens (Human)
Q98SJ5	Q98SJ5	Danio rerio (Zebrafish) (Brachydanio rerio)
Q98SW2	Q98SW2	Oncorhynchus mykiss (Rainbow trout) (Salmo gairdneri)
Q98TW1	Q98TW1	Danio rerio (Zebrafish) (Brachydanio rerio)
Q99081	Q99081	Homo sapiens (Human)
Q99583	Q99583	Homo sapiens (Human)
Q99742	Q99742	Homo sapiens (Human)
Q99743	Q99743	Homo sapiens (Human)
Q99814	Q99814	Homo sapiens (Human)
Q99929	Q99929	Homo sapiens (Human)
Q99MZ3	Q99MZ3	Mus musculus (Mouse)
Q99NA2	Q99NA2	Mus musculus (Mouse)
Q99PV5	Q99PV5	Mus musculus (Mouse)
Q9ASX9	Q9ASX9	Arabidopsis thaliana (Mouse-ear cress)
Q9BE97	Q9BE97	Bos taurus (Bovine)
Q9BRJ9	Q9BRJ9	Homo sapiens (Human)
Q9BW11	Q9BW11	Homo sapiens (Human)
Q9BYE0	Q9BYE0	Homo sapiens (Human)
Q9C0J9	Q9C0J9	Homo sapiens (Human)
Q9C670	Q9C670	Arabidopsis thaliana (Mouse-ear cress)
Q9C682	Q9C682	Arabidopsis thaliana (Mouse-ear cress)
Q9C690	Q9C690	Arabidopsis thaliana (Mouse-ear cress)
Q9C707	Q9C707	Arabidopsis thaliana (Mouse-ear cress)
Q9C7T4	Q9C7T4	Arabidopsis thaliana (Mouse-ear cress)
Q9C8P8	Q9C8P8	Arabidopsis thaliana (Mouse-ear cress)
Q9C8Z9	Q9C8Z9	Arabidopsis thaliana (Mouse-ear cress)
Q9CA64	Q9CA64	Arabidopsis thaliana (Mouse-ear cress)
Q9CAA4	Q9CAA4	Arabidopsis thaliana (Mouse-ear cress)
Q9CAA9	Q9CAA9	Arabidopsis thaliana (Mouse-ear cress)
Q9CAD0	Q9CAD0	Arabidopsis thaliana (Mouse-ear cress)
Q9D030	Q9D030	Mus musculus (Mouse)
Q9D489	Q9D489	Mus musculus (Mouse)
Q9DBX7	Q9DBX7	Mus musculus (Mouse)
Q9DEQ9	Q9DEQ9	Gallus gallus (Chicken)
Q9DG12	Q9DG12	Danio rerio (Zebrafish) (Brachydanio rerio)
Q9EPW1	Q9EPW1	Rattus norvegicus (Rat)
Q9EQW6	Q9EQW6	Mus musculus (Mouse)
Q9FE22	Q9FE22	Arabidopsis thaliana (Mouse-ear cress)
Q9FGB0	Q9FGB0	Arabidopsis thaliana (Mouse-ear cress)
Q9FH37	Q9FH37	Arabidopsis thaliana (Mouse-ear cress)
Q9FHA2	Q9FHA2	Arabidopsis thaliana (Mouse-ear cress)
Q9FHA7	Q9FHA7	Arabidopsis thaliana (Mouse-ear cress)
Q9FIP9	Q9FIP9	Arabidopsis thaliana (Mouse-ear cress)
Q9FIX5	Q9FIX5	Arabidopsis thaliana (Mouse-ear cress)
Q9FJ00	Q9FJ00	Arabidopsis thaliana (Mouse-ear cress)
Q9FJL4	Q9FJL4	Arabidopsis thaliana (Mouse-ear cress)
Q9FKQ6	Q9FKQ6	Arabidopsis thaliana (Mouse-ear cress)
Q9FLE9	Q9FLE9	Arabidopsis thaliana (Mouse-ear cress)
Q9FLI0	Q9FLI0	Arabidopsis thaliana (Mouse-ear cress)
Q9FLI1	Q9FLI1	Arabidopsis thaliana (Mouse-ear cress)
Q9FMB6	Q9FMB6	Arabidopsis thaliana (Mouse-ear cress)
Q9FMF4	Q9FMF4	Arabidopsis thaliana (Mouse-ear cress)
Q9FN69	Q9FN69	Arabidopsis thaliana (Mouse-ear cress)
Q9FRI0	Q9FRI0	Arabidopsis thaliana (Mouse-ear cress)
Q9FT81	Q9FT81	Arabidopsis thaliana (Mouse-ear cress)
Q9FUA4	Q9FUA4	Arabidopsis thaliana (Mouse-ear cress)
Q9FXA3	Q9FXA3	Arabidopsis thaliana (Mouse-ear cress)
Q9FY69	Q9FY69	Arabidopsis thaliana (Mouse-ear cress)
Q9FYE6	Q9FYE6	Arabidopsis thaliana (Mouse-ear cress)
Q9FYJ6	Q9FYJ6	Arabidopsis thaliana (Mouse-ear cress)
Q9GNV2	Q9GNV2	Podocoryna carnea (Hydrozoan)
Q9H2A3	Q9H2A3	Homo sapiens (Human)
Q9HAP2	Q9HAP2	Homo sapiens (Human)
Q9HBZ2	Q9HBZ2	Homo sapiens (Human)
Q9HCC6	Q9HCC6	Homo sapiens (Human)
Q9HD90	Q9HD90	Homo sapiens (Human)
Q9I8A3	Q9I8A3	Xenopus laevis (African clawed frog)
Q9I8A9	Q9I8A9	Xenopus laevis (African clawed frog)
Q9I8T7	Q9I8T7	Gallus gallus (Chicken)
Q9I9L0	Q9I9L0	Danio rerio (Zebrafish) (Brachydanio rerio)
Q9JHE6	Q9JHE6	Mus musculus (Mouse)
Q9JHS1	Q9JHS1	Rattus norvegicus (Rat)
Q9JHS2	Q9JHS2	Rattus norvegicus (Rat)
Q9JJR7	Q9JJR7	Mus musculus (Mouse)
Q9JK54	Q9JK54	Mus musculus (Mouse)
Q9JKN5	Q9JKN5	Mus musculus (Mouse)
Q9JLR5	Q9JLR5	Mus musculus (Mouse)
Q9LET0	Q9LET0	Arabidopsis thaliana (Mouse-ear cress)
Q9LEZ3	Q9LEZ3	Arabidopsis thaliana (Mouse-ear cress)
Q9LJX1	Q9LJX1	Arabidopsis thaliana (Mouse-ear cress)
Q9LK48	Q9LK48	Arabidopsis thaliana (Mouse-ear cress)
Q9LN95	Q9LN95	Arabidopsis thaliana (Mouse-ear cress)
Q9LND0	Q9LND0	Arabidopsis thaliana (Mouse-ear cress)
Q9LNJ5	Q9LNJ5	Arabidopsis thaliana (Mouse-ear cress)
Q9LPW3	Q9LPW3	Arabidopsis thaliana (Mouse-ear cress)
Q9LQ08	Q9LQ08	Arabidopsis thaliana (Mouse-ear cress)
Q9LRJ4	Q9LRJ4	Arabidopsis thaliana (Mouse-ear cress)
Q9LS08	Q9LS08	Arabidopsis thaliana (Mouse-ear cress)
Q9LSE2	Q9LSE2	Arabidopsis thaliana (Mouse-ear cress)
Q9LSL1	Q9LSL1	Arabidopsis thaliana (Mouse-ear cress)
Q9LSN7	Q9LSN7	Arabidopsis thaliana (Mouse-ear cress)
Q9LSQ3	Q9LSQ3	Arabidopsis thaliana (Mouse-ear cress)
Q9LT23	Q9LT23	Arabidopsis thaliana (Mouse-ear cress)
Q9LT67	Q9LT67	Arabidopsis thaliana (Mouse-ear cress)
Q9LTC7	Q9LTC7	Arabidopsis thaliana (Mouse-ear cress)
Q9LTS4	Q9LTS4	Arabidopsis thaliana (Mouse-ear cress)
Q9LUK7	Q9LUK7	Arabidopsis thaliana (Mouse-ear cress)
Q9LV17	Q9LV17	Arabidopsis thaliana (Mouse-ear cress)
Q9LXA9	Q9LXA9	Arabidopsis thaliana (Mouse-ear cress)
Q9LXD8	Q9LXD8	Arabidopsis thaliana (Mouse-ear cress)
Q9LXG5	Q9LXG5	Arabidopsis thaliana (Mouse-ear cress)
Q9M041	Q9M041	Arabidopsis thaliana (Mouse-ear cress)
Q9M0R0	Q9M0R0	Arabidopsis thaliana (Mouse-ear cress)
Q9M0X8	Q9M0X8	Arabidopsis thaliana (Mouse-ear cress)
Q9M128	Q9M128	Arabidopsis thaliana (Mouse-ear cress)
Q9M1K0	Q9M1K0	Arabidopsis thaliana (Mouse-ear cress)
Q9M1K1	Q9M1K1	Arabidopsis thaliana (Mouse-ear cress)
Q9M8K6	Q9M8K6	Arabidopsis thaliana (Mouse-ear cress)
Q9M9L6	Q9M9L6	Arabidopsis thaliana (Mouse-ear cress)
Q9MZT6	Q9MZT6	Sylvilagus floridanus (Cottontail rabbit)
Q9MZT7	Q9MZT7	Tadarida brasiliensis (Brazilian free-tailed bat)
Q9MZT8	Q9MZT8	Pteropus hypomelanus (Island flying fox) (Variable flying fox)
Q9MZT9	Q9MZT9	Tupaia glis (Common tree shrew) (Sorex glis)
Q9MZU0	Q9MZU0	Galeopterus variegatus (Malayan flying lemur) (Cynocephalus variegatus)
Q9NP71	Q9NP71	Homo sapiens (Human)
Q9NQ33	Q9NQ33	Homo sapiens (Human)
Q9NQ87	Q9NQ87	Homo sapiens (Human)
Q9NX45	Q9NX45	Homo sapiens (Human)
Q9PSI9	Q9PSI9	Danio rerio (Zebrafish) (Brachydanio rerio)
Q9PWJ5	Q9PWJ5	Xenopus laevis (African clawed frog)
Q9QUS4	Q9QUS4	Mus musculus (Mouse)
Q9QX98	Q9QX98	Mus musculus (Mouse)
Q9QYC3	Q9QYC3	Mus musculus (Mouse)
Q9QZQ0	Q9QZQ0	Mus musculus (Mouse)
Q9R210	Q9R210	Mus musculus (Mouse)
Q9S7Y1	Q9S7Y1	Arabidopsis thaliana (Mouse-ear cress)
Q9SA82	Q9SA82	Arabidopsis thaliana (Mouse-ear cress)
Q9SFZ3	Q9SFZ3	Arabidopsis thaliana (Mouse-ear cress)
Q9SK91	Q9SK91	Arabidopsis thaliana (Mouse-ear cress)
Q9SN74	Q9SN74	Arabidopsis thaliana (Mouse-ear cress)
Q9SND4	Q9SND4	Arabidopsis thaliana (Mouse-ear cress)
Q9SRT2	Q9SRT2	Arabidopsis thaliana (Mouse-ear cress)
Q9STJ6	Q9STJ6	Arabidopsis thaliana (Mouse-ear cress)
Q9STJ7	Q9STJ7	Arabidopsis thaliana (Mouse-ear cress)
Q9SVU6	Q9SVU6	Arabidopsis thaliana (Mouse-ear cress)
Q9SVU7	Q9SVU7	Arabidopsis thaliana (Mouse-ear cress)
Q9T072	Q9T072	Arabidopsis thaliana (Mouse-ear cress)
Q9TSZ2	Q9TSZ2	Canis lupus familiaris (Dog) (Canis familiaris)
Q9TX44	Q9TX44	Drosophila virilis (Fruit fly)
Q9TZ70	Q9TZ70	Caenorhabditis elegans
Q9UBP5	Q9UBP5	Homo sapiens (Human)
Q9UH92	Q9UH92	Homo sapiens (Human)
Q9UL49	Q9UL49	Homo sapiens (Human)
Q9UUD1	Q9UUD1	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)
Q9VGJ5	Q9VGJ5	Drosophila melanogaster (Fruit fly)
Q9VGZ5	Q9VGZ5	Drosophila melanogaster (Fruit fly)
Q9W4S7	Q9W4S7	Drosophila melanogaster (Fruit fly)
Q9W690	Q9W690	Xenopus laevis (African clawed frog)
Q9W6C7	Q9W6C7	Danio rerio (Zebrafish) (Brachydanio rerio)
Q9W6C8	Q9W6C8	Danio rerio (Zebrafish) (Brachydanio rerio)
Q9W705	Q9W705	Xenopus laevis (African clawed frog)
Q9WTL8	Q9WTL8	Mus musculus (Mouse)
Q9WTN3	Q9WTN3	Mus musculus (Mouse)
Q9WTW4	Q9WTW4	Mus musculus (Mouse)
Q9WUI9	Q9WUI9	Rattus norvegicus (Rat)
Q9WUQ3	Q9WUQ3	Rattus norvegicus (Rat)
Q9WV93	Q9WV93	Mus musculus (Mouse)
Q9WVS9	Q9WVS9	Rattus norvegicus (Rat)
Q9XEF0	Q9XEF0	Arabidopsis thaliana (Mouse-ear cress)
Q9XIJ1	Q9XIJ1	Arabidopsis thaliana (Mouse-ear cress)
Q9XIN0	Q9XIN0	Arabidopsis thaliana (Mouse-ear cress)
Q9XTA5	Q9XTA5	Bos taurus (Bovine)
Q9XX00	Q9XX00	Caenorhabditis elegans
